Title,Genre,Artist,id,title_spotify,album,sp_popularity,colab,release_date,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,key,mode,tempo,duration
Sunrise,blues,Norah Jones,7zkLpY72g6lKQbiHDqri1S,Sunrise,Feels Like Home,73.0,N,2004-01-01,0.526,0.299,-13.797,0.031,0.941,0.097,0.106,0.679,8.0,1.0,156.848,200627.0
Like Real People Do,blues,Hozier,57V4uc2b2diZ4RPHXWecb9,Like Real People Do,Hozier (Expanded Edition),71.0,N,2014-09-19,0.539,0.179,-14.33,0.0309,0.921,0.393,0.106,0.145,7.0,1.0,140.01,198027.0
Layla,blues,Eric Clapton,0e4os6wHr1jbFn4yPtSEOe,Layla,Eric Clapton's Rainbow Concert,37.0,Y,1973,0.488,0.676,-10.61,0.0348,0.174,0.0262,0.96,0.539,0.0,1.0,115.519,385637.0
Brothers in Arms,blues,Dire Straits,26tWBbtjvgi0tipRL2VQ2X,Brothers in Arms,Brothers in Arms,52.0,N,1985-05-13,0.22,0.44,-9.456,0.0352,0.503,0.862,0.12,0.13,8.0,0.0,79.095,419400.0
Everlasting Light,blues,The Black Keys,6dU5RxthbuaN31bRbEDlNw,Everlasting Light,Brothers,55.0,N,2010-05-18,0.641,0.582,-6.554,0.0483,0.127,0.00632,0.354,0.725,4.0,1.0,181.039,203773.0
Work Song,blues,Hozier,5TgEJ62DOzBpGxZ7WRsrqb,Work Song,Hozier (Expanded Edition),79.0,N,2014-09-19,0.531,0.363,-7.672,0.0608,0.749,0.0,0.112,0.259,10.0,1.0,121.412,229720.0
Folsom Prison Blues,blues,Johnny Cash,2fDHuS1PTkHBbCWWZF1ph9,"Folsom Prison Blues - Live at Folsom State Prison, Folsom, CA - January 1968",At Folsom Prison,67.0,N,1968-05-01,0.621,0.524,-15.269,0.0803,0.0652,0.00199,0.893,0.889,0.0,1.0,110.586,162653.0
Someone New,blues,Hozier,2DNXgvkyv35vTWvdgjs7qn,Someone New,Hozier (Expanded Edition),73.0,N,2014-09-19,0.443,0.533,-5.956,0.0473,0.429,3.66e-06,0.332,0.596,7.0,1.0,183.791,222813.0
Gravity,blues,John Mayer,3SktMqZmo3M9zbB7oKMIF7,Gravity,Continuum,71.0,N,2006-09-11,0.753,0.326,-9.883,0.0342,0.731,0.00131,0.24,0.237,7.0,1.0,123.799,245827.0
Don't You Remember,blues,Adele,4RyjMERDcCJHTkFpXzgUw4,Don't You Remember,21,62.0,N,2011-01-24,0.644,0.4,-5.713,0.0304,0.214,0.0,0.0866,0.227,3.0,1.0,115.025,243200.0
Chop Suey!,metal,System of a Down,2DlHlPMa4M17kufBvI2lEN,Chop Suey!,Toxicity,83.0,N,2001-09-04,0.417,0.934,-3.908,0.119,0.000278,0.0015,0.132,0.287,7.0,0.0,127.066,210240.0
In the End,metal,Linkin Park,60a0Rd6pjrkxjPbaKzXjfq,In the End,Hybrid Theory (Bonus Edition),87.0,N,2000,0.556,0.864,-5.87,0.0584,0.00958,0.0,0.209,0.4,3.0,0.0,105.143,216880.0
Numb,metal,Linkin Park,2nLtzopw4rPReszdYBJU6h,Numb,Meteora,88.0,N,2003-09-16,0.488,0.87,-4.185,0.0421,0.00353,0.0,0.484,0.211,6.0,0.0,110.072,187520.0
Bring Me to Life,metal,Evanescence,0COqiPhxzoWICwFCS4eZcp,Bring Me To Life,Fallen,83.0,N,2003-03-04,0.331,0.943,-3.188,0.0698,0.00721,2.06e-06,0.242,0.296,4.0,0.0,94.612,235893.0
Toxicity,metal,System of a Down,0snQkGI5qnAmohLE7jTsTn,Toxicity,Toxicity,84.0,N,2001-09-04,0.413,0.873,-4.151,0.0536,0.000264,0.00249,0.204,0.48,8.0,1.0,116.68,218933.0
Killing in the Name,metal,Rage Against the Machine,59WN2psjkt1tyaxjspN8fp,Killing In The Name,Rage Against The Machine - XX (20th Anniversary Special Edition),78.0,N,1992,0.466,0.833,-4.215,0.304,0.0266,0.0,0.0327,0.661,7.0,1.0,88.785,313573.0
Welcome to the Jungle,metal,Guns N' Roses,0G21yYKMZoHa30cYVi1iA8,Welcome To The Jungle,Appetite For Destruction,81.0,N,1987-07-21,0.454,0.987,-4.485,0.0881,0.0195,0.279,0.268,0.316,8.0,1.0,123.61,273480.0
Back in Black,metal,AC/DC,08mG3Y1vljYA6bvDt4Wqkj,Back In Black,Back In Black,84.0,N,1980-07-25,0.31,0.7,-5.678,0.047,0.011,0.00965,0.0828,0.763,9.0,1.0,188.386,255493.0
Highway to Hell,metal,AC/DC,2zYzyRzz6pRmhPzyfMEC8s,Highway to Hell,Highway to Hell,83.0,N,1979-07-27,0.574,0.913,-4.793,0.133,0.061,0.00158,0.156,0.423,6.0,0.0,115.728,208400.0
Paranoid,metal,Black Sabbath,4MSqgoFS7e8LpsxeeMMVMu,Paranoid,The Ultimate Collection,52.0,N,2017-02-03,0.429,0.631,-11.514,0.0769,7.85e-05,0.00411,0.175,0.376,4.0,0.0,162.734,168440.0
Enter Sandman,metal,Metallica,3VqHuw0wFlIHcIPWkhIbdQ,Enter Sandman (Remastered),Metallica (Remastered),75.0,N,1991-08-12,0.566,0.834,-8.412,0.0298,0.00277,0.008,0.0625,0.621,6.0,0.0,123.296,331560.0
Faint,metal,Linkin Park,4Yf5bqU3NK4kNOypcrLYwU,Faint,Meteora,85.0,N,2003-09-16,0.554,0.98,-3.514,0.108,0.127,0.0,0.0833,0.611,4.0,1.0,135.12,162107.0
Lonely Day,metal,System of a Down,1VNWaY3uNfoeWqb5U8x2QX,Lonely Day,Hypnotize,78.0,N,2005-11-22,0.47,0.796,-3.277,0.0336,0.362,1.1e-06,0.133,0.215,8.0,0.0,113.108,167907.0
One Step Closer,metal,Linkin Park,3K4HG9evC7dg3N0R9cYqk4,One Step Closer,Hybrid Theory (Bonus Edition),84.0,N,2000,0.492,0.969,-4.419,0.0491,0.0014,1.32e-06,0.0787,0.538,9.0,1.0,95.136,157333.0
Paradise City,metal,Guns N' Roses,6eN1f9KNmiWEhpE2RhQqB5,Paradise City,Appetite For Destruction,79.0,N,1987-07-21,0.268,0.98,-5.959,0.101,0.019,0.00692,0.182,0.39,11.0,1.0,100.316,405600.0
I Hate Everything About You,metal,Three Days Grace,6rUp7v3l8yC4TKxAAR5Bmx,I Hate Everything About You,Three Days Grace (Expanded Edition),70.0,N,2003-07-22,0.498,0.83,-5.157,0.0421,0.00461,0.0,0.139,0.453,6.0,0.0,89.342,231480.0
What I've Done,metal,Linkin Park,18lR4BzEs7e3qzc0KVkTpU,What I've Done,Minutes to Midnight,82.0,N,2007-05-14,0.627,0.935,-4.882,0.0324,0.0092,0.0,0.147,0.287,5.0,1.0,120.092,205227.0
Nothing Else Matters,metal,Metallica,2CtemffYhT0DJWcT1XW047,Nothing Else Matters (Remastered),Metallica (Remastered),69.0,N,1991-08-12,0.547,0.394,-9.793,0.0262,0.0522,6.4e-06,0.0795,0.17,4.0,0.0,142.37,388733.0
Aerials,metal,System of a Down,4e9eGQYsOiBcftrWXwsVco,Aerials,Toxicity,78.0,N,2001-09-04,0.364,0.922,-4.217,0.0567,0.000915,0.0346,0.0697,0.227,0.0,0.0,79.342,235053.0
B.Y.O.B.,metal,System of a Down,0EYOdF5FCkgOJJla8DI2Md,B.Y.O.B.,Mezmerize,76.0,N,2005-05-17,0.538,0.981,-2.688,0.14,0.00662,0.0,0.219,0.711,1.0,0.0,101.414,255467.0
Crawling,metal,Linkin Park,57BrRMwf9LrcmuOsyGilwr,Crawling,Hybrid Theory (Bonus Edition),81.0,N,2000,0.58,0.702,-5.565,0.0337,0.0466,3.2e-06,0.536,0.299,4.0,1.0,105.076,208960.0
Freak on a Leash,metal,Korn,6W21LNLz9Sw7sUSNWMSHRu,Freak On a Leash,Follow The Leader,77.0,N,1998-08-18,0.353,0.898,-5.877,0.052,2.23e-05,0.105,0.39,0.525,2.0,1.0,103.299,255733.0
Last Resort,metal,Papa Roach,5W8YXBz9MTIDyrpYaCg2Ky,Last Resort,Infest,80.0,N,2001-04-25,0.589,0.89,-3.719,0.06,0.000481,0.00082,0.201,0.687,4.0,0.0,90.586,199907.0
Thunderstruck,metal,AC/DC,57bgtoPSgt236HzfBOd8kj,Thunderstruck,The Razors Edge,84.0,N,1990-09-24,0.502,0.89,-5.175,0.0364,0.000147,0.0117,0.217,0.259,4.0,1.0,133.52,292880.0
You Shook Me All Night Long,metal,AC/DC,6yl8Es1tCYD9WdSkeVLFw4,You Shook Me All Night Long,Who Made Who,63.0,N,1986-05-24,0.529,0.768,-5.51,0.0566,0.00224,0.00075,0.297,0.769,7.0,1.0,127.316,210880.0
Somewhere I Belong,metal,Linkin Park,3agtg0x11wPvLIWkYR39nZ,Somewhere I Belong,Meteora,71.0,N,2003-09-16,0.451,0.951,-3.754,0.0645,0.000386,2.56e-06,0.261,0.441,1.0,1.0,162.041,213933.0
Change (In the House of Flies),metal,Deftones,51c94ac31swyDQj9B3Lzs3,Change (In the House of Flies),White Pony,78.0,N,2000-05-16,0.269,0.853,-4.647,0.0854,0.000249,0.000246,0.118,0.179,7.0,0.0,141.581,299533.0
Master of Puppets,metal,Metallica,54bm2e3tk8cliUz3VSdCPZ,Master of Puppets (Remastered),Master of Puppets (Remastered Deluxe Box Set),70.0,N,1986-03-03,0.539,0.828,-9.108,0.035,0.00067,0.421,0.154,0.562,4.0,0.0,105.25,515387.0
Ace of Spades,metal,Motörhead,3CIOopLwvyMvXk97ZEksKO,Ace of Spades,Ace of Spades (Expanded Edition),71.0,N,1980-11-08,0.322,0.991,-4.453,0.213,0.00313,0.0035,0.0708,0.198,6.0,1.0,140.221,168320.0
Breaking the Habit,metal,Linkin Park,6n8TMVyFKoUmDc4apxceRD,Breaking the Habit,Meteora,70.0,N,2003-09-16,0.58,0.865,-4.359,0.0313,0.105,0.0,0.106,0.587,4.0,0.0,100.016,196133.0
Papercut,metal,Linkin Park,1Vej0qeQ3ioKwpI6FUbRv1,Papercut,Hybrid Theory (Bonus Edition),79.0,N,2000,0.524,0.939,-3.994,0.113,0.00022,0.0,0.623,0.661,9.0,1.0,150.184,184867.0
Break Stuff,metal,Limp Bizkit,5cZqsjVs6MevCnAkasbEOX,Break Stuff,Significant Other,81.0,N,1999,0.432,0.884,-6.657,0.128,0.0128,0.000457,0.166,0.619,8.0,1.0,108.835,166707.0
My Own Summer (Shove It),metal,Deftones,1158ckiB5S4cpsdYHDB9IF,My Own Summer (Shove It),Around the Fur,77.0,N,1997-10-27,0.443,0.781,-4.277,0.0377,1.33e-05,0.205,0.166,0.372,1.0,1.0,71.841,214760.0
Duality,metal,Slipknot,61mWefnWQOLf90gepjOCb3,Duality,Vol. 3: The Subliminal Verses,79.0,N,2004,0.354,0.982,-3.026,0.168,0.000237,0.000294,0.204,0.194,4.0,0.0,143.772,252613.0
Down With the Sickness,metal,Disturbed,40rvBMQizxkIqnjPdEWY1v,Down with the Sickness,The Sickness,76.0,N,2000-03-07,0.695,0.876,-4.262,0.0553,0.000996,6.89e-06,0.106,0.941,3.0,0.0,89.954,279213.0
Bulls on Parade,metal,Rage Against the Machine,0tZ3mElWcr74OOhKEiNz1x,Bulls On Parade,Evil Empire,72.0,N,1996-04-16,0.412,0.919,-7.291,0.184,0.0124,0.0601,0.424,0.572,5.0,1.0,166.367,229467.0
My Immortal,metal,Evanescence,4UzVcXufOhGUwF56HT7b8M,My Immortal,Fallen,73.0,N,2003-03-04,0.19,0.265,-9.206,0.0356,0.863,0.0,0.134,0.101,9.0,1.0,79.012,262533.0
Wait and Bleed,metal,Slipknot,2gscB6kDOmrv1P6qs2KXE3,Wait and Bleed,Slipknot (10th Anniversary Edition),66.0,N,2009-09-09,0.382,0.996,-4.119,0.104,0.00208,0.0,0.417,0.327,7.0,1.0,93.345,147840.0
Before I Forget,metal,Slipknot,6wqJeItl3Vc3az4ZicSQAB,Before I Forget,Vol. 3: The Subliminal Verses,76.0,N,2004,0.291,0.974,-2.997,0.171,0.0177,5.44e-06,0.886,0.348,6.0,0.0,134.724,278600.0
nights,metal,Frank Ocean,7eqoqGkKwgOaWNNHx90uEZ,Nights,Blonde,78.0,N,2016-08-20,0.457,0.551,-9.36,0.167,0.427,1.15e-06,0.113,0.428,5.0,0.0,89.87,307151.0
Bleed It Out,metal,Linkin Park,0UFDKFqW2oGspYeYqo9wjA,Bleed It Out,Minutes to Midnight,81.0,N,2007-05-14,0.541,0.969,-3.439,0.0458,0.113,0.0,0.638,0.599,11.0,1.0,140.119,164427.0
Animal I Have Become,metal,Three Days Grace,56sk7jBpZV0CD31G9hEU3b,Animal I Have Become,One-X,77.0,N,2006-06-25,0.553,0.853,-3.668,0.0339,0.000684,0.0,0.126,0.506,8.0,1.0,122.023,231400.0
Iron Man,metal,Black Sabbath,4svkPL62HbvyFgf0nHFXAF,Iron Man,The Ultimate Collection,54.0,N,2017-02-03,0.332,0.769,-11.503,0.0765,0.00367,0.00413,0.0372,0.525,9.0,1.0,157.378,354774.0
Crazy Train,metal,Ozzy Osbourne,7ACxUo21jtTHzy7ZEV56vU,Crazy Train,Blizzard Of Ozz (40th Anniversary Expanded Edition),76.0,N,2020-09-18,0.454,0.913,-4.008,0.107,0.408,0.000271,0.248,0.521,9.0,1.0,137.688,293183.0
Going Under,metal,Evanescence,3UygY7qW2cvG9Llkay6i1i,Going Under,Fallen,74.0,N,2003-03-04,0.37,0.858,-4.885,0.0545,0.00815,2.12e-05,0.229,0.464,11.0,0.0,175.077,214947.0
One,metal,Metallica,0LAcM6I7ijW4VVW0aytl1t,One (Remastered),...And Justice for All (Remastered Deluxe Box Set),69.0,N,1988-09-07,0.438,0.687,-9.15,0.0619,0.000668,0.0801,0.42,0.426,7.0,1.0,103.01,446146.0
Behind Blue Eyes,metal,Limp Bizkit,1MTQHCpraD4S8g5PAFKzoj,Behind Blue Eyes,Results May Vary,73.0,N,2003-01-01,0.595,0.489,-6.66,0.0271,0.497,0.0,0.119,0.0902,7.0,1.0,120.312,269973.0
Knockin' on Heaven's Door,metal,Guns N' Roses,4JiEyzf0Md7KEFFGWDDdCr,Knockin' On Heaven's Door,Use Your Illusion II,77.0,N,1991-09-18,0.496,0.739,-7.193,0.0416,0.0209,0.00451,0.106,0.377,6.0,1.0,132.411,336000.0
Be Quiet and Drive (Far Away),metal,Deftones,4Uiw0Sl9yskBaC6P4DcdVD,Be Quiet and Drive (Far Away),Around the Fur,76.0,N,1997-10-27,0.206,0.965,-5.116,0.079,9.91e-06,0.827,0.367,0.168,1.0,1.0,92.615,299867.0
Bodies,metal,Drowning Pool,7CpbhqKUedOIrcvc94p60Y,Bodies,Sinner,75.0,N,2001-01-01,0.656,0.932,-3.405,0.0708,0.00347,0.00147,0.144,0.544,4.0,0.0,130.936,201960.0
Riptide,folk,Vance Joy,7yq4Qj7cqayVTp3FF9CWbm,Riptide,Dream Your Life Away,79.0,N,2014-09-08,0.484,0.731,-6.694,0.0379,0.431,0.0,0.151,0.51,1.0,1.0,101.654,204280.0
Skinny Love,folk,Bon Iver,3B3eOgLJSqPEA0RfboIQVM,Skinny Love,"For Emma, Forever Ago",74.0,N,2008-02-19,0.592,0.263,-14.029,0.0568,0.845,5.68e-06,0.127,0.109,4.0,0.0,76.366,238520.0
Hurt,folk,Johnny Cash,28cnXtME493VX9NOw9cIUh,Hurt,American IV: The Man Comes Around,72.0,N,2002-01-01,0.534,0.392,-7.636,0.0267,0.649,0.000227,0.0948,0.163,9.0,0.0,90.379,216533.0
Little Talks,folk,Of Monsters and Men,2ihCaVdNZmnHZWt0fvAM7B,Little Talks,My Head Is An Animal,78.0,N,2012-01-01,0.457,0.757,-5.177,0.032,0.0206,0.0,0.146,0.417,1.0,1.0,102.961,266600.0
Ho Hey,folk,The Lumineers,0DwClY2t9YAWHBROMIgrXb,Ho Hey,The Lumineers,81.0,N,2012-04-03,0.685,0.466,-9.074,0.0304,0.791,2.06e-06,0.0914,0.353,0.0,1.0,79.936,163133.0
Brown Eyed Girl,folk,Van Morrison,3yrSvpt2l1xhsV9Em88Pul,Brown Eyed Girl,Blowin' Your Mind!,84.0,N,1967-09,0.491,0.583,-10.964,0.0376,0.185,0.0,0.406,0.908,7.0,1.0,150.566,183307.0
Little Lion Man,folk,Mumford & Sons,4B4vB3oB8csotplfoQcAd6,Little Lion Man,Sigh No More,67.0,N,2009-10-02,0.52,0.496,-8.121,0.0271,0.0234,2.05e-05,0.0905,0.496,5.0,1.0,138.81,247002.0
The Night We Met,folk,Lord Huron,0QZ5yyl6B6utIWkxeBDxQN,The Night We Met,Strange Trails,78.0,N,2015-04-07,0.545,0.366,-9.51,0.0378,0.969,0.267,0.641,0.1,2.0,1.0,86.997,208212.0
Like a Rolling Stone,folk,Bob Dylan,3AhXZa8sUQht0UEdBJgpGc,Like a Rolling Stone,Highway 61 Revisited,70.0,N,1965-08-30,0.482,0.721,-6.839,0.0321,0.731,0.0,0.189,0.557,0.0,1.0,95.263,369600.0
Hallelujah,folk,Jeff Buckley,3pRaLNL3b8x5uBOcsgvdqM,Hallelujah,Grace,68.0,N,1994,0.324,0.136,-10.33,0.0318,0.931,0.00117,0.176,0.0831,0.0,1.0,97.256,413827.0
Let Her Go,folk,Passenger,1KxwZYyzWNyZSRyErj2ojT,Let Her Go,All The Little Lights,73.0,N,2012-08-28,0.479,0.545,-7.346,0.0688,0.365,0.0,0.0963,0.243,7.0,1.0,74.897,252733.0
Heartbeats,folk,José González,5YqpHuXpFjDVZ7tY1ClFll,Heartbeats,Veneer,63.0,N,2006-04-03,0.589,0.177,-14.891,0.0325,0.977,0.714,0.0958,0.311,3.0,1.0,88.409,161680.0
carDIGan,folk,Taylor Swift,4R2kfaDFhslZEMJqAFNpdd,cardigan,folklore,84.0,N,2020-07-24,0.613,0.581,-8.588,0.0424,0.537,0.000345,0.25,0.551,0.0,0.0,130.033,239560.0
White Winter Hymnal,folk,Fleet Foxes,0GegHVxeozw3rdjte45Bfx,White Winter Hymnal,Fleet Foxes,68.0,N,2008-06-03,0.628,0.5,-9.66,0.0268,0.44,0.0,0.244,0.68,6.0,0.0,124.932,147027.0
Home,folk,Edward Sharpe & The Magnetic Zeros,1y6NrtYewc9g3XDkOdDwTQ,Home,What To Expect When You're Expecting Soundtrack,53.0,N,2012-01-01,0.526,0.607,-5.799,0.0301,0.253,0.000483,0.123,0.0836,2.0,1.0,111.756,303733.0
The Cave,folk,Mumford & Sons,3vUn7FE3ZaQgJmkhIrIirF,The Cave,Sigh No More,66.0,N,2009-10-02,0.594,0.51,-9.621,0.0383,0.047,7.27e-05,0.0959,0.368,4.0,1.0,141.979,217984.0
For What It's Worth,folk,Buffalo Springfield,1qRA5BS78u3gME0loMl9AA,For What It's Worth,Buffalo Springfield,78.0,N,1966-12-05,0.653,0.519,-10.164,0.0497,0.406,0.0209,0.101,0.822,2.0,1.0,98.883,153693.0
Happier Than Ever,folk,Billie Eilish,4RVwu0g32PAqgUiJoXsdF8,Happier Than Ever,Happier Than Ever,82.0,N,2021-07-30,0.332,0.225,-8.697,0.0348,0.767,0.00349,0.128,0.297,0.0,1.0,81.055,298899.0
Here Comes The Sun - Remastered 2009,folk,The Beatles,6dGnYIeXmHdcikdzNNDMm2,Here Comes The Sun - Remastered 2009,Abbey Road (Remastered),83.0,N,1969-09-26,0.557,0.54,-10.484,0.0347,0.0339,0.00248,0.179,0.394,9.0,1.0,129.177,185733.0
The Sound of Silence,folk,Simon & Garfunkel,3YfS47QufnLDFA71FUsgCM,The Sound of Silence,The Singer,61.0,N,2012-08-28,0.535,0.225,-13.865,0.0301,0.869,1.57e-06,0.0988,0.338,6.0,1.0,107.384,184787.0
Heather,folk,Conan Gray,4xqrdfXkTW4T0RauPLv3WA,Heather,Kid Krow,83.0,N,2020-03-20,0.357,0.425,-7.301,0.0333,0.584,0.0,0.322,0.27,5.0,1.0,102.078,198040.0
Flume,folk,Bon Iver,0bhBtXHQX3u6dSAPF59qGx,Flume,"For Emma, Forever Ago",65.0,N,2008-02-19,0.448,0.143,-17.012,0.0328,0.929,0.0356,0.109,0.0873,11.0,1.0,132.829,219000.0
Stolen Dance,folk,Milky Chance,0ZfByLXCeKchuj7zi1CJ0S,Stolen Dance,Sadnecessary (Bonus Track Version),73.0,N,2014-10-14,0.879,0.565,-8.809,0.037,0.412,0.000239,0.0798,0.685,11.0,1.0,114.009,313627.0
In the Aeroplane Over the Sea,folk,Neutral Milk Hotel,5rfT032kGmLvbxZzfHlu5D,In the Aeroplane Over the Sea,In the Aeroplane Over the Sea,63.0,N,1998-02-20,0.271,0.714,-5.124,0.0329,0.392,0.0,0.115,0.239,7.0,1.0,94.158,202347.0
Jolene,folk,Dolly Parton,2SpEHTbUuebeLkgs9QB7Ue,Jolene,Jolene,70.0,N,1974-02-04,0.674,0.537,-10.971,0.0363,0.566,0.0,0.131,0.809,1.0,0.0,110.578,161533.0
Banana Pancakes,folk,Jack Johnson,451GvHwY99NKV4zdKPRWmv,Banana Pancakes,In Between Dreams,69.0,N,2005-01-01,0.816,0.375,-8.053,0.0996,0.607,8.66e-06,0.0933,0.615,7.0,1.0,114.303,191907.0
traitor,folk,Olivia Rodrigo,5CZ40GBx1sQ9agT82CLQCT,traitor,SOUR,84.0,N,2021-05-21,0.38,0.339,-7.885,0.0338,0.691,0.0,0.12,0.0849,3.0,1.0,100.607,229227.0
aUgUSt,folk,Taylor Swift,3hUxzQpSfdDqwM3ZTFQY0K,august,folklore,85.0,N,2020-07-24,0.532,0.623,-9.208,0.0331,0.538,7.28e-05,0.0925,0.403,5.0,1.0,89.937,261923.0
Lover,folk,Taylor Swift,1dGr1c8CrMLDpV6mPbImSI,Lover,Lover,85.0,N,2019-08-23,0.359,0.543,-7.582,0.0919,0.492,1.58e-05,0.118,0.453,7.0,1.0,68.534,221307.0
Fast Car,folk,Tracy Chapman,2M9ro2krNb7nr7HSprkEgo,Fast Car,Tracy Chapman,78.0,N,1988-04-05,0.711,0.292,-15.523,0.037,0.313,0.0,0.131,0.194,4.0,0.0,103.951,296800.0
Between the Bars,folk,Elliott Smith,1JbUMtVkQuaAPdHOvncVTm,Between the Bars,Either/Or,64.0,N,1997-02-25,0.523,0.0774,-23.594,0.0631,0.937,0.886,0.107,0.354,7.0,0.0,135.207,141200.0
California Dreamin',folk,The Mamas & the Papas,4s6LhHAV5SEsOV0lC2tjvJ,California Dreamin' - Single Version,If You Can Believe Your Eyes & Ears,80.0,N,1966-03,0.552,0.608,-9.786,0.0345,0.352,0.0,0.0533,0.637,1.0,0.0,112.367,162373.0
Two Weeks,folk,Grizzly Bear,04uR2cdkgiaLIzebPcs25m,Two Weeks,Veckatimest,67.0,N,2009-05-24,0.526,0.723,-5.59,0.0294,0.3,0.00698,0.058,0.744,5.0,1.0,159.685,246213.0
Ring of Fire,folk,Johnny Cash,6YffUZJ2R06kyxyK6onezL,Ring of Fire,Ring Of Fire: The Best Of Johnny Cash,68.0,N,1963-08-06,0.659,0.585,-8.189,0.0288,0.623,0.000213,0.348,0.784,7.0,1.0,104.111,158427.0
"jealousy, jealousy",folk,Olivia Rodrigo,0MMyJUC3WNnFS1lit5pTjk,"jealousy, jealousy",SOUR,81.0,N,2021-05-21,0.695,0.575,-6.334,0.116,0.198,0.0,0.0614,0.699,10.0,0.0,163.929,173160.0
Bags,folk,Clairo,6UFivO2zqqPFPoQYsEMuCc,Bags,Immunity,77.0,N,2019-08-02,0.742,0.546,-7.694,0.0315,0.172,0.38,0.115,0.868,1.0,1.0,104.996,260520.0
A Horse With No Name,folk,America,54eZmuggBFJbV7k248bTTt,A Horse with No Name,America,79.0,Y,1972,0.653,0.507,-17.18,0.0534,0.687,0.0147,0.155,0.831,11.0,0.0,123.188,252240.0
First Day of My Life,folk,Bright Eyes,0eBryM7ePQH3Klt3jz8xZd,First Day of My Life,"I'm Wide Awake, It's Morning",65.0,N,2005-01-25,0.596,0.253,-14.369,0.0349,0.896,5.17e-05,0.102,0.368,1.0,0.0,95.162,188878.0
Holocene,folk,Bon Iver,35KiiILklye1JRRctaLUb4,Holocene,"Bon Iver, Bon Iver",68.0,N,2011-06-21,0.374,0.304,-14.52,0.0302,0.943,0.298,0.126,0.147,1.0,1.0,147.969,336613.0
Motion Sickness,folk,Phoebe Bridgers,25Syi9wnfn6ZGAmiOBypPq,Motion Sickness,Stranger in the Alps (Deluxe Edition),63.0,N,2018-10-02,0.651,0.546,-9.021,0.0357,0.774,0.0437,0.0842,0.623,1.0,1.0,107.021,229760.0
American Pie,folk,Don McLean,1fDsrQ23eTAVFElUMaf38X,American Pie,American Pie,74.0,N,1971,0.529,0.482,-11.709,0.0599,0.7,0.0,0.0842,0.492,4.0,0.0,138.453,516893.0
The A Team,folk,Ed Sheeran,1VdZ0vKfR5jneCmWIUAMxK,The A Team,+,73.0,N,2011-09-09,0.642,0.289,-9.918,0.0367,0.669,0.0,0.18,0.407,9.0,1.0,84.996,258373.0
California Dreamin' - Single Version,folk,The Mamas & the Papas,4s6LhHAV5SEsOV0lC2tjvJ,California Dreamin' - Single Version,If You Can Believe Your Eyes & Ears,80.0,N,1966-03,0.552,0.608,-9.786,0.0345,0.352,0.0,0.0533,0.637,1.0,0.0,112.367,162373.0
Knockin' on Heaven's Door,folk,Bob Dylan,6HSXNV0b4M4cLJ7ljgVVeh,Knockin' On Heaven's Door,Pat Garrett & Billy The Kid (Soundtrack From The Motion Picture),81.0,N,1973-07-13,0.513,0.396,-13.061,0.0299,0.251,0.177,0.11,0.229,7.0,1.0,140.208,149880.0
favorite crime,folk,Olivia Rodrigo,5JCoSi02qi3jJeHdZXMmR8,favorite crime,SOUR,82.0,N,2021-05-21,0.369,0.272,-10.497,0.0364,0.866,0.0,0.147,0.218,9.0,1.0,172.929,152667.0
Photograph,folk,Ed Sheeran,1HNkqx9Ahdgi1Ixy2xkKkL,Photograph,x (Deluxe Edition),84.0,N,2014-06-21,0.614,0.379,-10.48,0.0476,0.607,0.000464,0.0986,0.201,4.0,1.0,107.989,258987.0
For Emma,folk,Bon Iver,2nilAlGEZmwyaLTMMyDdLo,For Emma,"For Emma, Forever Ago",69.0,N,2008-02-19,0.669,0.613,-11.12,0.036,0.487,0.176,0.132,0.566,4.0,0.0,110.668,220720.0
Pink Moon,folk,Nick Drake,4KROoGIaPaR1pBHPnR3bwC,Pink Moon,Pink Moon,67.0,N,1972-02-25,0.642,0.427,-8.471,0.0402,0.871,0.0904,0.124,0.404,3.0,1.0,82.344,124001.0
"Sitting, Waiting, Wishing",folk,Jack Johnson,5eWOsyHHic4vJP3LjTVhqv,"Sitting, Waiting, Wishing",In Between Dreams,66.0,N,2005-01-01,0.765,0.535,-7.229,0.0265,0.22,2.55e-05,0.104,0.548,0.0,1.0,105.019,183720.0
Mykonos,folk,Fleet Foxes,2s7pyee9w04uQy3cNKzey9,Mykonos,First Collection 2006-2009,66.0,N,2018-11-09,0.3,0.452,-9.298,0.0305,0.395,0.000834,0.137,0.342,11.0,1.0,82.985,275307.0
telepatía,latin,Kali Uchis,6tDDoYIxWvMLTdKpjFkc1B,telepatía,Sin Miedo (del Amor y Otros Demonios) ∞,81.0,N,2020-12-04,0.653,0.524,-9.016,0.0502,0.112,0.0,0.203,0.553,11.0,0.0,83.97,160191.0
Hips Don't Lie (feat. Wyclef Jean),latin,Shakira,3ZFTkvIE7kyPt6Nu3PEa7V,Hips Don't Lie (feat. Wyclef Jean),"Oral Fixation, Vol. 2 (Expanded Edition)",85.0,Y,2005-11-28,0.778,0.824,-5.892,0.0707,0.284,0.0,0.405,0.758,10.0,0.0,100.024,218093.0
