Title,Genre,Artist
aisatsana [102],classical,Aphex Twin
Experience,classical,Ludovico Einaudi
Moonlight Sonata,classical,Ludwig van Beethoven
Concerning Hobbits,classical,Howard Shore
Wet Hands,classical,C418
"Clair de lune, L. 32",classical,Claude Debussy
It's Been So Long,classical,The Living Tombstone
Minecraft,classical,C418
Hotter Than Hell,classical,Dua Lipa
Riverside,classical,Agnes Obel
On the Nature of Daylight,classical,Max Richter
Swish Swish,classical,Katy Perry
"Sonata No. 14 ""Moonlight"" in C-Sharp Minor"", Op. 27 No. 2: I. Adagio sostenuto",classical,Ludwig van Beethoven
Le Moulin,classical,Yann Tiersen
Orchestral Intro,classical,Gorillaz
MORE,classical,K/DA
Sur le fil,classical,Yann Tiersen
Ghost,classical,Machine Girl
Dry Hands,classical,C418
Gnossienne No. 1,classical,Erik Satie
La Dispute,classical,Yann Tiersen
Now or Never,classical,Halsey
A quai,classical,Yann Tiersen
Fly,classical,Ludovico Einaudi
bOn aPpétIT,classical,Katy Perry
Divenire,classical,Ludovico Einaudi
Moog City,classical,C418
Primavera,classical,Ludovico Einaudi
Vladimir's Blues,classical,Max Richter
Punk Monk,classical,Playboi Carti
Feel My Rhythm,classical,Red Velvet
Lacrimosa,classical,Wolfgang Amadeus Mozart
Duel of the Fates,classical,John Williams
The Swan,classical,Camille Saint-Saëns
Karma,r&b,Taylor Swift
Somebody To Love - Remastered 2011,r&b,Queen
Same Old Love,r&b,Selena Gomez
Hands to Myself,r&b,Selena Gomez
Poison Tree,r&b,Grouper
Tamale,r&b,"Tyler, the Creator"
Kill Em With Kindness,r&b,Selena Gomez
Bad (feat. Vassy) - radio edit,r&b,David Guetta
Gone,r&b,Rosé
ACID RAIN,r&b,Lorn
Jungle,r&b,Tash Sultana
Thinking 'Bout You,r&b,Dua Lipa
Ol' 55,r&b,Tom Waits
Anyone Who Knows What Love Is (Will Understand),r&b,Irma Thomas
10 d E A T h b R E a s T ⚄ ⚄,r&b,Bon Iver
Rachel,r&b,Sleigh Bells
Some Things Last a Long Time,r&b,Daniel Johnston
Notion,r&b,Tash Sultana
Lionsong,r&b,Björk
Desire,r&b,Meg Myers
I Won't Hurt You,r&b,The West Coast Pop Art Experimental Band
Another World,r&b,Gojira
Revival,r&b,Selena Gomez
Just One of the Guys,r&b,Jenny Lewis
End of the Affair,r&b,Ben Howard
"Broken Home, Broken Heart",r&b,Hüsker Dü
Devil Town,r&b,Daniel Johnston
Lost,r&b,Gorilla Zoe
Reflecting Light,r&b,Sam Phillips
Lee Majors Come Again,r&b,Beastie Boys
"Orchestral Suite No. 3 in D major, BWV 1068: II. Air",r&b,Johann Sebastian Bach
Ritual Spirit,r&b,Massive Attack
I Do,r&b,Susie Suh
Poor You,r&b,Daniel Johnston
The Beer,r&b,Kimya Dawson
Despair Came Knocking,r&b,Daniel Johnston
I've Been Trying,r&b,DJ Shadow
Life In Vain,r&b,Daniel Johnston
Big Business Monkey,r&b,Daniel Johnston
The Price,r&b,Leprous
Try to Make a Fire Burn Again,r&b,Dawn Landes
"Read, Eat, Sleep",r&b,The Books
Bedside Table,r&b,Bedhead
Virginal I,r&b,Tim Hecker
Everyone's Got Something,r&b,Perrin Lamb
Fondu Au Noir,r&b,Cœur de Pirate
Drown,r&b,Marika Hackman
Mind Your Manners - feat. Icona Pop,r&b,Chiddy Bang
Você Não Entende Nada,r&b,Gal Costa
Leave the Light On - Demo,r&b,Marissa Nadler
Roxanne,reggae,The Police
Santeria,reggae,Sublime
Woman,reggae,Doja Cat
Doin' Time,reggae,Lana Del Rey
Beautiful Girls,reggae,Sean Kingston
Message in a Bottle,reggae,The Police
The Lazy Song,reggae,Bruno Mars
Ride,reggae,Twenty One Pilots
Three Little Birds,reggae,Bob Marley & The Wailers
Could You Be Loved,reggae,Bob Marley & The Wailers
What I Got,reggae,Sublime
Rude,reggae,Magic!
Is This Love,reggae,Bob Marley & The Wailers
Temperature,reggae,Sean Paul
Hotel California - 2013 Remaster,reggae,Eagles
It Wasn't Me,reggae,Shaggy
Side To Side,reggae,Ariana Grande
Jamming,reggae,Bob Marley & The Wailers
Just Friends,reggae,Amy Winehouse
Buffalo Soldier,reggae,Bob Marley & The Wailers
Billionaire (feat. Bruno Mars),reggae,Travie McCoy
Get Busy,reggae,Sean Paul
Man Down,reggae,Rihanna
Amber,reggae,311
Redemption Song,reggae,Bob Marley & The Wailers
Wrong Way,reggae,Sublime
Don't Stand So Close to Me,reggae,The Police
Bloodline,reggae,Ariana Grande
Fire Burning,reggae,Sean Kingston
You Da One,reggae,Rihanna
Cheerleader - Felix Jaehn Remix Radio Edit,reggae,Omi
Walking on the Moon,reggae,The Police
Waiting In Vain,reggae,Bob Marley & The Wailers
Red Red Wine,reggae,UB40
Can't Stand Losing You,reggae,The Police
Doin' Time,reggae,Sublime
Bongo Bong,reggae,Manu Chao
Can't Remember to Forget You (feat. Rihanna),reggae,Shakira
Memories,reggae,Maroon 5
Don't Worry Be Happy,reggae,Bobby McFerrin
The Guns of Brixton,reggae,The Clash
Badfish,reggae,Sublime
Welcome to Jamrock,reggae,Damian Marley
AS IF IT'S YOUR LAST,reggae,BLACKPINK
No Lie,reggae,Sean Paul
Harleys in Hawaii,reggae,Katy Perry
Smoke Two Joints,reggae,Sublime
So Lonely,reggae,The Police
Angel,reggae,Shaggy
D'yer Mak'er,reggae,Led Zeppelin
Hurt,country,Johnny Cash
Love Story,country,Taylor Swift
You Belong with Me,country,Taylor Swift
Jolene,country,Dolly Parton
Lover,country,Taylor Swift
Ring of Fire,country,Johnny Cash
Motion Sickness,country,Phoebe Bridgers
Nonsense,country,Sabrina Carpenter
We Are Never Ever Getting Back Together,country,Taylor Swift
I Walk the Line,country,Johnny Cash
I Will Wait,country,Mumford & Sons
Love Story (Taylor’s Version),country,Taylor Swift
I Knew You Were Trouble.,country,Taylor Swift
FourFiveSeconds,country,Rihanna
willow,country,Taylor Swift
You Belong With Me (Taylor’s Version),country,Taylor Swift
The Climb,country,Miley Cyrus
This Is the Life,country,Amy Macdonald
Enchanted,country,Taylor Swift
Hey Brother,country,Avicii
Nobody Gets Me,country,SZA
9 to 5,country,Dolly Parton
Perfect,country,Ed Sheeran
Before He Cheats,country,Carrie Underwood
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),country,Taylor Swift
"Take Me Home, Country Roads",country,John Denver
Not Fair,country,Lily Allen
Mariners Apartment Complex,country,Lana Del Rey
Our Song,country,Taylor Swift
22,country,Taylor Swift
I Knew You Were Trouble (Taylor's Version),country,Taylor Swift
Folsom Prison Blues,country,Johnny Cash
Life Is a Highway,country,Rascal Flatts
Shallow,country,Lady Gaga
Need 2,country,Pinegrove
Timber (feat. Ke$ha),country,Pitbull
Back to December,country,Taylor Swift
BETTY,country,Taylor Swift
lacy,country,Olivia Rodrigo
We Are Never Ever Getting Back Together (Taylor's Version),country,Taylor Swift
Lookin' Out My Back Door,country,Creedence Clearwater Revival
Angels Like You,country,Miley Cyrus
22 (Taylor's Version),country,Taylor Swift
Harvest Moon,country,Neil Young
Red (Taylor's Version),country,Taylor Swift
Old Town Road - Remix,country,Lil Nas X
Mine,country,Taylor Swift
Nothing Breaks Like a Heart (feat. Miley Cyrus),country,Mark Ronson
sWeeT CreAtUre,country,Harry Styles
"no body, no crime (feat. HAIM)",country,Taylor Swift
Feel Good Inc.,electronic,Gorillaz
Poker Face,electronic,Lady Gaga
Kids,electronic,MGMT
Stronger,electronic,Kanye West
Bad Romance,electronic,Lady Gaga
Electric Feel,electronic,MGMT
Somebody That I Used To Know,electronic,Gotye
Just Dance,electronic,Lady Gaga
Clint Eastwood,electronic,Gorillaz
Paparazzi,electronic,Lady Gaga
Time to Pretend,electronic,MGMT
Paranoid Android,electronic,Radiohead
Paper Planes,electronic,M.I.A.
I Gotta Feeling,electronic,Black Eyed Peas
One More Time,electronic,Daft Punk
DARE,electronic,Gorillaz
"Harder, Better, Faster, Stronger",electronic,Daft Punk
Midnight City,electronic,M83
Starboy,electronic,The Weeknd
Royals,electronic,Lorde
What You Know,electronic,Two Door Cinema Club
Jigsaw Falling Into Place,electronic,Radiohead
Teardrop,electronic,Massive Attack
Only Girl (In the World),electronic,Rihanna
Kill Bill,electronic,SZA
All I Need,electronic,Radiohead
Enjoy the Silence,electronic,Depeche Mode
Walking on a Dream,electronic,Empire of the Sun
The Hills,electronic,The Weeknd
On Melancholy Hill,electronic,Gorillaz
S&M,electronic,Rihanna
Tainted Love,electronic,Soft Cell
Everything in Its Right Place,electronic,Radiohead
LoveGame,electronic,Lady Gaga
Nude,electronic,Radiohead
Intro,electronic,The xx
Alejandro,electronic,Lady Gaga
TiK ToK,electronic,Ke$ha
Lovers Rock,electronic,TV Girl
15 Step,electronic,Radiohead
Gimme More,electronic,Britney Spears
Airbag,electronic,Radiohead
Can't Feel My Face,electronic,The Weeknd
Wake Me Up,electronic,Avicii
Around the World,electronic,Daft Punk
Stressed Out,electronic,Twenty One Pilots
Fireflies,electronic,Owl City
All The Stars (with SZA),electronic,Kendrick Lamar
Save Your Tears,electronic,The Weeknd
Dirty Harry,electronic,Gorillaz
Take Me to Church,blues,Hozier
All Along the Watchtower,blues,Jimi Hendrix
Ain't No Sunshine,blues,Bill Withers
Purple Haze,blues,Jimi Hendrix
Sunshine of Your Love,blues,Cream
Lonely Boy,blues,The Black Keys
Stand By Me,blues,Ben E. King
What A Wonderful World,blues,Louis Armstrong
Love Is a Losing Game,blues,Amy Winehouse
Super Rich Kids,blues,Frank Ocean
Wicked Game,blues,Chris Isaak
Hey Joe,blues,Jimi Hendrix
Johnny B. Goode,blues,Chuck Berry
Hit the Road Jack,blues,Ray Charles
Don't Know Why,blues,Norah Jones
Tighten Up,blues,The Black Keys
Rumour Has It,blues,Adele
Little Wing,blues,Jimi Hendrix
Feeling Good,blues,Nina Simone
White Room,blues,Cream
Tears in Heaven,blues,Eric Clapton
Cocaine,blues,Eric Clapton
Roadhouse Blues,blues,The Doors
Norman Fucking Rockwell,blues,Lana Del Rey
Howlin' for You,blues,The Black Keys
you should see me in a crown,blues,Billie Eilish
You Can't Always Get What You Want,blues,The Rolling Stones
At Last,blues,Etta James
Come Away with Me,blues,Norah Jones
Waiting on the World to Change,blues,John Mayer
Easy On ME,blues,Adele
The Wind Cries Mary,blues,Jimi Hendrix
Wonderful Tonight,blues,Eric Clapton
The Other Woman,blues,Lana Del Rey
Gold on the Ceiling,blues,The Black Keys
Some Unholy War,blues,Amy Winehouse
Slow Dancing in a Burning Room,blues,John Mayer
Me & Mr Jones,blues,Amy Winehouse
Dazed and Confused,blues,Led Zeppelin
Voodoo Child (Slight Return),blues,Jimi Hendrix
Sunrise,blues,Norah Jones
Like Real People Do,blues,Hozier
Layla,blues,Eric Clapton
Brothers in Arms,blues,Dire Straits
Everlasting Light,blues,The Black Keys
Work Song,blues,Hozier
Folsom Prison Blues,blues,Johnny Cash
Someone New,blues,Hozier
Gravity,blues,John Mayer
Don't You Remember,blues,Adele
Chop Suey!,metal,System of a Down
In the End,metal,Linkin Park
Numb,metal,Linkin Park
Bring Me to Life,metal,Evanescence
Toxicity,metal,System of a Down
Killing in the Name,metal,Rage Against the Machine
Welcome to the Jungle,metal,Guns N' Roses
Back in Black,metal,AC/DC
Highway to Hell,metal,AC/DC
Paranoid,metal,Black Sabbath
Enter Sandman,metal,Metallica
Faint,metal,Linkin Park
Lonely Day,metal,System of a Down
One Step Closer,metal,Linkin Park
Paradise City,metal,Guns N' Roses
I Hate Everything About You,metal,Three Days Grace
What I've Done,metal,Linkin Park
Nothing Else Matters,metal,Metallica
Aerials,metal,System of a Down
B.Y.O.B.,metal,System of a Down
Crawling,metal,Linkin Park
Freak on a Leash,metal,Korn
Last Resort,metal,Papa Roach
Thunderstruck,metal,AC/DC
You Shook Me All Night Long,metal,AC/DC
Somewhere I Belong,metal,Linkin Park
Change (In the House of Flies),metal,Deftones
Master of Puppets,metal,Metallica
Ace of Spades,metal,Motörhead
Breaking the Habit,metal,Linkin Park
Papercut,metal,Linkin Park
Break Stuff,metal,Limp Bizkit
My Own Summer (Shove It),metal,Deftones
Duality,metal,Slipknot
Down With the Sickness,metal,Disturbed
Bulls on Parade,metal,Rage Against the Machine
My Immortal,metal,Evanescence
Wait and Bleed,metal,Slipknot
Before I Forget,metal,Slipknot
nights,metal,Frank Ocean
Bleed It Out,metal,Linkin Park
Animal I Have Become,metal,Three Days Grace
Iron Man,metal,Black Sabbath
Crazy Train,metal,Ozzy Osbourne
Going Under,metal,Evanescence
One,metal,Metallica
Behind Blue Eyes,metal,Limp Bizkit
Knockin' on Heaven's Door,metal,Guns N' Roses
Be Quiet and Drive (Far Away),metal,Deftones
Bodies,metal,Drowning Pool
Riptide,folk,Vance Joy
Skinny Love,folk,Bon Iver
Hurt,folk,Johnny Cash
Little Talks,folk,Of Monsters and Men
Ho Hey,folk,The Lumineers
Brown Eyed Girl,folk,Van Morrison
Little Lion Man,folk,Mumford & Sons
The Night We Met,folk,Lord Huron
Like a Rolling Stone,folk,Bob Dylan
Hallelujah,folk,Jeff Buckley
Let Her Go,folk,Passenger
Heartbeats,folk,José González
carDIGan,folk,Taylor Swift
White Winter Hymnal,folk,Fleet Foxes
Home,folk,Edward Sharpe & The Magnetic Zeros
The Cave,folk,Mumford & Sons
For What It's Worth,folk,Buffalo Springfield
Happier Than Ever,folk,Billie Eilish
Here Comes The Sun - Remastered 2009,folk,The Beatles
The Sound of Silence,folk,Simon & Garfunkel
Heather,folk,Conan Gray
Flume,folk,Bon Iver
Stolen Dance,folk,Milky Chance
In the Aeroplane Over the Sea,folk,Neutral Milk Hotel
Jolene,folk,Dolly Parton
Banana Pancakes,folk,Jack Johnson
traitor,folk,Olivia Rodrigo
aUgUSt,folk,Taylor Swift
Lover,folk,Taylor Swift
Fast Car,folk,Tracy Chapman
Between the Bars,folk,Elliott Smith
California Dreamin',folk,The Mamas & the Papas
Two Weeks,folk,Grizzly Bear
Ring of Fire,folk,Johnny Cash
"jealousy, jealousy",folk,Olivia Rodrigo
Bags,folk,Clairo
A Horse With No Name,folk,America
First Day of My Life,folk,Bright Eyes
Holocene,folk,Bon Iver
Motion Sickness,folk,Phoebe Bridgers
American Pie,folk,Don McLean
The A Team,folk,Ed Sheeran
California Dreamin' - Single Version,folk,The Mamas & the Papas
Knockin' on Heaven's Door,folk,Bob Dylan
favorite crime,folk,Olivia Rodrigo
Photograph,folk,Ed Sheeran
For Emma,folk,Bon Iver
Pink Moon,folk,Nick Drake
"Sitting, Waiting, Wishing",folk,Jack Johnson
Mykonos,folk,Fleet Foxes
telepatía,latin,Kali Uchis
Hips Don't Lie (feat. Wyclef Jean),latin,Shakira
"Whenever, Wherever",latin,Shakira
Hotel Room Service,latin,Pitbull
Feliz Navidad,latin,José Feliciano
Gasolina,latin,Daddy Yankee
La Isla Bonita,latin,Madonna
Señorita,latin,Shawn Mendes
Livin' La Vida Loca,latin,Ricky Martin
I Like It,latin,Cardi B
Danza Kuduro,latin,Don Omar
Hips Don't Lie,latin,Shakira
Mambo No. 5 (A Little Bit Of...),latin,Lou Bega
Havana (feat. Young Thug),latin,Camila Cabello
Chan Chan,latin,Buena Vista Social Club
Bongo Bong,latin,Manu Chao
Can't Remember to Forget You (feat. Rihanna),latin,Shakira
ANTIFRAGILE,latin,LE SSERAFIM
"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",latin,Pitbull
Tití Me Preguntó,latin,Bad Bunny
The Girl From Ipanema,latin,Stan Getz
Me Porto Bonito,latin,Bad Bunny
DESPECHÁ,latin,Rosalía
BIZCOCHITO,latin,Rosalía
Mi Gente,latin,J Balvin
La Camisa Negra,latin,Juanes
Saoko,latin,Rosalía
Love Don't Cost a Thing,latin,Jennifer Lopez
Let's Get Loud,latin,Jennifer Lopez
Black Magic Woman,latin,Santana
Me gustas tú,latin,Manu Chao
I Like It,latin,Enrique Iglesias
Oye Como Va,latin,Santana
SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),latin,amaarae
Me Gustas Tu,latin,Manu Chao
DÁKITI,latin,Bad Bunny
If You Had My Love,latin,Jennifer Lopez
Despacito,latin,Luis Fonsi
Naked,latin,Doja Cat
Looking at Me,latin,Sabrina Carpenter
Despacito - Remix,latin,Luis Fonsi
Waiting for Tonight,latin,Jennifer Lopez
Hero,latin,Enrique Iglesias
Clandestino,latin,Manu Chao
Filter,latin,BTS
International Love (feat. Chris Brown),latin,Pitbull
Mercury,latin,Steve Lacy
Smooth,latin,Santana
We Don't Talk About Bruno,latin,Carolina Gaitán - La Gaita
Underneath Your Clothes,latin,Shakira
Misery Business,punk,Paramore
All the Small Things,punk,blink-182
Basket Case,punk,Green Day
American Idiot,punk,Green Day
Boulevard of Broken Dreams,punk,Green Day
I Write Sins Not Tragedies,punk,Panic! at the Disco
Teenagers,punk,My Chemical Romance
I MISS YOU,punk,blink-182
The Middle,punk,Jimmy Eat World
Wake Me Up When September Ends,punk,Green Day
Welcome to the Black Parade,punk,My Chemical Romance
Complicated,punk,Avril Lavigne
The Kids Aren't Alright,punk,The Offspring
What's My Age Again?,punk,blink-182
"Dance, Dance",punk,Fall Out Boy
Good Riddance (Time of Your Life),punk,Green Day
good 4 u,punk,Olivia Rodrigo
Helena,punk,My Chemical Romance
When I Come Around,punk,Green Day
Thnks fr th Mmrs,punk,Fall Out Boy
Santeria,punk,Sublime
Girlfriend,punk,Avril Lavigne
Holiday,punk,Green Day
Here Comes Your Man,punk,Pixies
Sk8er Boi,punk,Avril Lavigne
"Sugar, We're Goin Down",punk,Fall Out Boy
I'm Not Okay (I Promise),punk,My Chemical Romance
Pretty Fly (For a White Guy),punk,The Offspring
Call Me,punk,Blondie
That's What You Get,punk,Paramore
Self Esteem,punk,The Offspring
crushcrushcrush,punk,Paramore
Just a Girl,punk,No Doubt
"You're Gonna Go Far, Kid",punk,The Offspring
In Too Deep,punk,Sum 41
Fat Lip,punk,Sum 41
FIRST DATE,punk,blink-182
Gives You Hell,punk,The All-American Rejects
Dirty Little Secret,punk,The All-American Rejects
Sabotage,punk,Beastie Boys
Adam's Song,punk,blink-182
The Passenger,punk,Iggy Pop
vampire,punk,Olivia Rodrigo
Teenage Dirtbag,punk,Wheatus
Hey,punk,Pixies
Should I Stay or Should I Go - Remastered,punk,The Clash
Smooth Criminal,punk,Alien Ant Farm
"jealousy, jealousy",punk,Olivia Rodrigo
21 Guns,punk,Green Day
What I Got,punk,Sublime
Billie Jean,disco,Michael Jackson
The Less I Know the Better,disco,Tame Impala
Dancing Queen,disco,ABBA
Thriller,disco,Michael Jackson
September,disco,"Earth, Wind & Fire"
Can't Feel My Face,disco,The Weeknd
I Want You Back,disco,The Jackson 5
Save Your Tears,disco,The Weeknd
Kiss Me More (feat. SZA),disco,Doja Cat
espresso,disco,Sabrina Carpenter
Borderline,disco,Tame Impala
I Was Made for Lovin' You,disco,Kiss
Can't Get You Out of My Head,disco,Kylie Minogue
Gimme! Gimme! Gimme! (A Man After Midnight),disco,ABBA
Let It Happen,disco,Tame Impala
Hung Up,disco,Madonna
doN'T StArT nOw,disco,Dua Lipa
Stayin' Alive,disco,Bee Gees
Mamma Mia,disco,ABBA
Treasure,disco,Bruno Mars
Instant Crush (feat. Julian Casablancas),disco,Daft Punk
Another One Bites The Dust - Remastered 2011,disco,Queen
Adore You,disco,Harry Styles
I Feel It Coming,disco,The Weeknd
Heart of Glass,disco,Blondie
Nobody,disco,Mitski
