Title,Artist,Genre,id,title_spotify,album,sp_popularity,colab,release_date,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,key,mode,tempo,duration
No Hands,Waka Flocka Flame ft. Wale & Roscoe Dash,Hip Hop,03tqyYWC9Um2ZqU0ZN849H,No Hands (feat. Roscoe Dash & Wale),Flockaveli,75.0,Y,2010-10-01,0.76,0.595,-6.366,0.0391,0.00544,0.0,0.241,0.361,1.0,1.0,131.497,263773.0
King's Dead,"Jay Rock, Kendrick Lamar, Future, James Blake",Hip Hop,51rXHuKN8Loc4sUlKPODgH,"King's Dead (with Kendrick Lamar, Future & James Blake)","King's Dead (with Kendrick Lamar, Future & James Blake)",69.0,Y,2018-01-12,0.645,0.705,-5.008,0.299,0.000813,0.0,0.128,0.376,1.0,1.0,137.133,229670.0
Sucker for Pain,"Lil Wayne, Wiz Khalifa & Imagine Dragons",Hip Hop,4dASQiO1Eoo3RJvt74FtXB,"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Sucker for Pain (with Logic & Ty Dolla $ign feat. X Ambassadors),74.0,Y,2016-06-24,0.502,0.786,-4.378,0.317,0.255,0.0,0.65,0.739,9.0,0.0,169.021,243491.0
Hotline Bling,Drake,Hip Hop,0wwPcA6wtMf6HUMpIRdeP7,Hotline Bling,Views,75.0,N,2016-05-06,0.891,0.628,-7.863,0.0551,0.00258,0.00019,0.0504,0.552,2.0,1.0,134.966,267067.0
Mercy,"Kanye West, Big Sean, Pusha T, 2 Chainz",Hip Hop,4qikXelSRKvoCqFcHLB2H2,Mercy,Mercy,68.0,Y,2012-01-01,0.563,0.496,-9.381,0.406,0.0685,5.8e-05,0.173,0.426,6.0,0.0,139.993,329320.0
Power,Kanye West,Hip Hop,2gZUPNdnz5Y45eiGxpHGSc,POWER,My Beautiful Dark Twisted Fantasy,76.0,N,2010-11-22,0.542,0.914,-4.747,0.113,0.0161,0.0,0.744,0.576,0.0,0.0,153.993,292093.0
Hot,Young Thug ft. Gunna,Hip Hop,6In0l3TGLl8YBCw3eI2fdb,Hot (Made Popular By Young Thug ft. Gunna & Travis Scott) [Karaoke Version],Party Tyme - Hip Hop & Rap Hits 3 (Karaoke Versions),1.0,N,2022-11-25,0.828,0.415,-9.415,0.0368,0.0289,0.933,0.186,0.672,0.0,0.0,112.002,193955.0
For Free,DJ Khaled ft. Drake,Hip Hop,608a1wIsSd5KzMEqm1O7w3,I'm On One,We The Best Forever,67.0,Y,2011-01-01,0.413,0.807,-3.499,0.318,0.0537,0.0,0.631,0.438,11.0,0.0,149.336,296147.0
Drip Too Hard,Lil Baby & Gunna,Hip Hop,78QR3Wp35dqAhFEc2qAGjE,Drip Too Hard (Lil Baby & Gunna),Drip Harder,79.0,Y,2018-10-05,0.897,0.662,-6.903,0.292,0.0852,0.0,0.534,0.39,1.0,0.0,112.509,145543.0
Money Trees,Kendrick Lamar,Hip Hop,2HbKqm4o0w5wEeEFXm2sD4,Money Trees,"good kid, m.A.A.d city",78.0,Y,2012,0.716,0.531,-7.355,0.122,0.0703,0.0,0.224,0.344,7.0,1.0,71.994,386907.0
Thrift Shop,Macklemore & Ryan Lewis,Hip Hop,6CjtS2JZH9RkDz5UVInsa9,Thrift Shop (feat. Wanz),The Heist,78.0,Y,2012-10-09,0.781,0.526,-6.986,0.293,0.0633,0.0,0.0457,0.665,6.0,0.0,94.993,235613.0
Feel No Ways,Drake,Hip Hop,3cjF2OFRmip8spwZYQRKxP,Feel No Ways,Views,72.0,N,2016-05-06,0.582,0.677,-7.081,0.172,0.0312,6.6e-06,0.122,0.205,7.0,1.0,193.818,240653.0
The Story of O.J.,JAY-Z,Hip Hop,6JpN5w95em8SODPiM7W2PH,The Story of O.J.,4:44,58.0,N,2017-07-07,0.741,0.718,-5.823,0.415,0.283,2.21e-06,0.23,0.576,7.0,1.0,165.848,231760.0
L$D,A$AP Rocky,Hip Hop,4S7YHmlWwfwArgd8LfSPud,L$D,AT.LONG.LAST.A$AP,70.0,N,2015-05-26,0.598,0.252,-15.086,0.0644,0.194,0.133,0.0992,0.0352,2.0,1.0,120.064,238307.0
Forever,"Drake ft. Kanye West, Lil Wayne, Eminem",Hip Hop,2wDz70kiUyVKNSusLt7CNL,Forever,More Than A Game,46.0,Y,2009-01-01,0.469,0.931,-1.351,0.365,0.234,0.0,0.208,0.527,5.0,0.0,106.249,357347.0
Black Beatles,Rae Sremmurd ft. Gucci Mane,Hip Hop,5VASKLmtFH4oVcHAfLjbqd,Black Beatles (Made Popular By Rae Sremmurd ft. Gucci Mane) [Karaoke Version],Party Tyme Karaoke - Super Hits 29,2.0,N,2018-06-08,0.673,0.644,-10.866,0.0431,0.0174,0.921,0.197,0.392,11.0,0.0,146.05,290656.0
Thotiana,Blueface,Hip Hop,1rBjexQsgqXpsS2BrCxaDX,Thotiana,Famous Cryp,60.0,N,2018-12-18,0.906,0.382,-12.89,0.269,0.18,0.0,0.113,0.391,10.0,0.0,104.025,129264.0
Trophies,Drake,Hip Hop,6HfOzLLjsaXsehIFEsrxTk,Trophies,Rise Of An Empire (Deluxe Edition),69.0,Y,2014-01-01,0.744,0.687,-7.475,0.381,0.155,0.0,0.137,0.283,1.0,1.0,143.936,188320.0
Life Is Good,Future ft. Drake,Hip Hop,5zkIXMBEZaPUVaap4op1Ge,Life Is Good (Ft. Drake) (By Future) (Melody Karaoke Version),ZZang KARAOKE 2024 POP Vol.165,0.0,N,2024-09-11,0.576,0.585,-10.296,0.121,0.0311,0.802,0.15,0.13,2.0,0.0,142.032,242077.0
Godzilla,Eminem ft. Juice WRLD,Hip Hop,7FIWs0pqAYbP91WWM0vlTQ,Godzilla (feat. Juice WRLD),Music To Be Murdered By,81.0,Y,2020-01-17,0.808,0.745,-5.26,0.342,0.145,0.0,0.292,0.829,10.0,0.0,165.995,210800.0
Hot,Young Thug ft. Gunna,Hip Hop,6In0l3TGLl8YBCw3eI2fdb,Hot (Made Popular By Young Thug ft. Gunna & Travis Scott) [Karaoke Version],Party Tyme - Hip Hop & Rap Hits 3 (Karaoke Versions),1.0,N,2022-11-25,0.828,0.415,-9.415,0.0368,0.0289,0.933,0.186,0.672,0.0,0.0,112.002,193955.0
Slide,Calboy,Hip Hop,7KcCwTQ9XYC6pCQW3QMkaT,Slide Thru,Slide Thru,41.0,N,2024-04-06,0.767,0.332,-13.752,0.875,0.068,0.0,0.111,0.486,1.0,1.0,183.838,100078.0
Gotta Have It,Kanye West & JAY-Z,Hip Hop,6JFLZH9vCzgqnUToBdiHQb,Gotta Have It,Watch The Throne,67.0,Y,2011-08-08,0.74,0.574,-6.938,0.245,0.411,0.0,0.262,0.33,4.0,1.0,149.762,140747.0
Look At Me!,XXXTENTACION,Hip Hop,7floNISpH8VF4z4459Qo18,Look At Me!,Look At Me!,79.0,N,2017-02-20,0.763,0.726,-6.405,0.282,0.259,0.0,0.0976,0.349,1.0,1.0,139.059,126346.0
Nonstop,Drake,Hip Hop,0TlLq3lA83rQOYtrqBqSct,Nonstop,Scorpion,74.0,N,2018-06-29,0.912,0.412,-8.074,0.123,0.0165,0.0126,0.104,0.423,7.0,1.0,154.983,238614.0
Boredom,"Tyler, The Creator ft. Rex Orange County & Anna of the North",Hip Hop,5WNYg3usc6H8N3MBEp4zVk,Boredom (feat. Rex Orange County & Anna of the North),Flower Boy,66.0,Y,2017-07-21,0.559,0.578,-9.54,0.151,0.79,0.000522,0.324,0.239,8.0,1.0,79.938,320720.0
